,NPila,,,,,,,,,,
,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1,,
,,,,,,,,,,,
Promedio,0.00061,0.00035,0.000277,12.55221,12.54896,12.48888,0.000394,12.44295,12.42379,,
Mejor caso,0.0003,0.0002,0.0002,0.0373,0.0472,0.033,0.0002,0.0314,0.0306,,
Peor caso,0.0243,0.0016,0.0008,27.3538,26.2924,27.0914,0.0149,27.8045,27.3535,,
,,,,,,,,,,,
,NCola,,,,,,,,,,
,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1,,
,,,,,,,,,,,
Promedio,0.000567,0.000412,0.000305,12.56478,12.52977,12.51688,0.000404,12.4563,12.47468,,
Mejor caso,0.0003,0.0002,0.0002,0.0569,0.0355,0.0335,0.0002,0.0319,0.0315,,
Peor caso,0.0153,0.0145,0.0275,27.5634,27.7052,27.4407,0.0143,27.9087,33.2106,,
,,,,,,,,,,,
,NLista,,,,,,,,,,
,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1,Ordenar0,OrdenarM
,,,,,,,,,,,
Promedio,0.0005095,0.000365,0.000304,0.253431,0.203628,0.13038,0.285429,0.332976,0.38437,0.819663,0.81962
Mejor caso,0.0003,0.0002,0.0002,0.0005,0.0003,0.0003,0.0013,0.0009,0.0009,0.0014,0.0013
Peor caso,0.0198,0.0144,0.0153,1.006,1.0503,0.5641,1.256,1.1473,1.2619,2.2845,2.0759
,,,,,,,,,,,
,ALista,,,,,,,,,,
,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1,Ordenar0,OrdenarM
,,,,,,,,,,,
Promedio,0.00014,4.718304,0.000177,0.019433,0.038013,0.045893,0.042006,0.037817,0.8261266,2.473972,0.818908
Mejor caso,0.0001,0.0279,0.0001,0.0002,0.0002,0.0004,0.0003,0.0003,0.0015,0.0061,0.0011
Peor caso,0.0006,10.2995,0.0137,0.2012,0.2612,0.1749,0.1926,0.1276,2.6177,5.6231,2.2501
,,,,,,,,,,,
,APila,,,,,,,,,,
,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1,,
,,,,,,,,,,,
Promedio,0.000347,0.000156,4.717737,0.000172,0.018731,0.037795,0.000173,0.040082,0.038674,,
Mejor caso,0.0002,0.0001,0.0225,0.0001,0.0002,0.0003,0.0001,0.0004,0.0002,,
Peor caso,0.0197,0.0006,11.915,0.0196,0.0903,0.1896,0.0025,0.3052,0.6297,,
,,,,,,,,,,,
,ACola,,,,,,,,,,
,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1,,
,,,,,,,,,,,
Promedio,0.0003103,0.000167,0.000202,0.000173,0.0190791,0.038257,0.000147,0.041175,0.039177,,
Mejor caso,0.0002,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002,0.0002,,
Peor caso,0.0197,0.0142,0.0657,0.0153,0.1732,0.6309,0.0055,0.6841,0.6716,,
