Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1,Ordenar0,OrdenarM,Ordenar1
50,0.0007,0.0001,0.026,0.0002,0.0002,0.0002,0.0003,0.0003,0.0002,0.0015,0.0029,0.0012
100,0.0003,0.0001,0.0356,0.0002,0.0002,0.0003,0.0004,0.0003,0.0003,0.0024,0.0062,0.0022
150,0.0003,0.0002,0.0453,0.0002,0.0002,0.0004,0.0004,0.0004,0.0004,0.0038,0.0101,0.0032
200,0.0004,0.0001,0.0622,0.0002,0.0003,0.0004,0.0005,0.0005,0.0005,0.0049,0.0132,0.0046
250,0.0003,0.0001,0.0641,0.0002,0.0003,0.0005,0.0006,0.0006,0.0006,0.0056,0.0164,0.0051
300,0.0003,0.0001,0.0735,0.0001,0.0004,0.0006,0.0007,0.0007,0.0007,0.0073,0.0196,0.0067
350,0.0003,0.0001,0.0843,0.0001,0.0004,0.0007,0.0008,0.0008,0.0006,0.0088,0.0304,0.0081
400,0.0002,0.0002,0.0939,0.0001,0.0005,0.0007,0.0009,0.0008,0.0008,0.0101,0.0279,0.0095
450,0.0003,0.0001,0.1023,0.0001,0.0005,0.0008,0.001,0.0009,0.0008,0.0109,0.0314,0.0102
500,0.0003,0.0001,0.123,0.0002,0.0005,0.0009,0.0011,0.001,0.0009,0.0115,0.0353,0.0108
550,0.0003,0.0002,0.1237,0.0002,0.0005,0.001,0.0012,0.0011,0.001,0.0132,0.039,0.0123
600,0.0003,0.0002,0.1324,0.0002,0.0006,0.0011,0.0013,0.0011,0.0011,0.0193,0.0425,0.014
650,0.0003,0.0002,0.1424,0.0001,0.0007,0.0011,0.0013,0.0013,0.0011,0.0166,0.0469,0.0158
700,0.0003,0.0002,0.2173,0.0003,0.0009,0.0016,0.0019,0.0017,0.0015,0.0215,0.0775,0.0206
750,0.0003,0.0001,0.1717,0.0002,0.0008,0.0012,0.0017,0.0015,0.0013,0.0199,0.0562,0.0191
800,0.0003,0.0002,0.1777,0.0001,0.0008,0.0013,0.0017,0.0015,0.0013,0.0208,0.0595,0.02
850,0.0004,0.0001,0.1808,0.0001,0.0008,0.0014,0.0018,0.0016,0.0014,0.022,0.0631,0.021
900,0.0003,0.0001,0.2088,0.0002,0.0008,0.0015,0.0018,0.0017,0.0015,0.0224,0.0667,0.0216
950,0.0004,0.0001,0.1989,0.0002,0.0008,0.0016,0.0019,0.0018,0.0016,0.0231,0.0714,0.0225
1000,0.0002,0.0001,0.2081,0.0001,0.0009,0.0017,0.002,0.0019,0.0016,0.0244,0.0746,0.0231
1050,0.0003,0.0001,0.2177,0.0001,0.001,0.0017,0.007,0.0019,0.0018,0.0255,0.0782,0.0244
