Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1,Ordenar0,OrdenarM,Ordenar1
50,0.0006,0.0003,0.0002,0.0006,0.0012,0.0004,0.002,0.0009,0.0016,0.0013,0.0012,0.0011
100,0.0005,0.0003,0.0003,0.0005,0.0011,0.0005,0.0019,0.0012,0.0012,0.0022,0.00225,0.0023
150,0.0005,0.0003,0.0003,0.0006,0.0013,0.0006,0.0019,0.0014,0.0016,0.0037,0.0034,0.0031
200,0.0006,0.0003,0.0003,0.0007,0.0016,0.0007,0.0023,0.0018,0.0019,0.0046,0.00455,0.0045
250,0.0004,0.0003,0.0003,0.0009,0.0019,0.0008,0.0026,0.0021,0.0023,0.0057,0.00535,0.005
300,0.0004,0.0003,0.0003,0.0011,0.0021,0.001,0.0028,0.0024,0.0026,0.0068,0.0067,0.0066
350,0.0004,0.0003,0.0003,0.0013,0.0024,0.0011,0.003,0.0026,0.0046,0.0086,0.00845,0.0083
400,0.0004,0.0003,0.0003,0.0014,0.0027,0.0013,0.0033,0.003,0.0032,0.0095,0.00945,0.0094
450,0.0004,0.0002,0.0002,0.002,0.0033,0.0014,0.0042,0.0035,0.0037,0.0114,0.01075,0.0101
500,0.0005,0.0003,0.0003,0.0019,0.0035,0.0017,0.0044,0.0042,0.0044,0.0115,0.01115,0.0108
550,0.0004,0.0003,0.0004,0.0026,0.0045,0.0021,0.0053,0.0049,0.0052,0.013,0.01265,0.0123
600,0.0005,0.0003,0.0003,0.0027,0.0048,0.0024,0.0062,0.0058,0.0061,0.0147,0.01435,0.014
650,0.0004,0.0003,0.0003,0.0027,0.0042,0.0026,0.0064,0.0063,0.0067,0.0163,0.0161,0.0159
700,0.0005,0.0003,0.0003,0.0029,0.0048,0.0028,0.0069,0.0068,0.0075,0.0179,0.01755,0.0172
750,0.0004,0.0002,0.0003,0.0036,0.0077,0.003,0.0073,0.0074,0.008,0.0197,0.01925,0.0188
800,0.0004,0.0003,0.0003,0.0038,0.0075,0.0031,0.0076,0.0076,0.0082,0.0199,0.0195,0.0191
850,0.0005,0.0003,0.0003,0.0035,0.0049,0.0033,0.0075,0.0078,0.0086,0.0207,0.023,0.0253
900,0.0005,0.0003,0.0003,0.0038,0.0055,0.0036,0.0083,0.0229,0.0092,0.0222,0.0294,0.0366
950,0.0005,0.0003,0.0003,0.004,0.0056,0.0038,0.0086,0.0093,0.0101,0.0225,0.02175,0.021
1000,0.0004,0.0003,0.0002,0.0041,0.0058,0.004,0.0091,0.0096,0.0108,0.0237,0.02325,0.0228
1050,0.0005,0.0003,0.0003,0.0044,0.0064,0.0042,0.0096,0.0123,0.0116,0.0252,0.02485,0.0245
1100,0.0005,0.0003,0.0003,0.0045,0.007,0.0043,0.0101,0.0106,0.0118,0.027,0.02665,0.0263
1150,0.0005,0.0003,0.0003,0.0047,0.0066,0.0045,0.0103,0.0111,0.0124,0.0281,0.02785,0.0276
1200,0.0005,0.0003,0.0003,0.0049,0.0207,0.0053,0.0125,0.0119,0.0134,0.0306,0.0301,0.0296
1250,0.0004,0.0003,0.0003,0.0067,0.009,0.0049,0.0114,0.0121,0.014,0.0323,0.0318,0.0313
1300,0.0004,0.0003,0.0003,0.0053,0.0077,0.0051,0.0114,0.0124,0.0142,0.0341,0.03385,0.0336
1350,0.0005,0.0003,0.0003,0.0055,0.0221,0.0059,0.012,0.0131,0.0147,0.0355,0.0353,0.0351
1400,0.0005,0.0003,0.0003,0.0057,0.0079,0.0055,0.0122,0.0134,0.0151,0.0373,0.0369,0.0365
1450,0.0005,0.0003,0.0002,0.0061,0.0087,0.0057,0.0126,0.0139,0.0158,0.0393,0.03915,0.039
1500,0.0004,0.0003,0.0003,0.0067,0.0122,0.0058,0.0135,0.0143,0.0166,0.0409,0.0404,0.0399
1550,0.0004,0.0003,0.0003,0.0072,0.0093,0.006,0.0135,0.0148,0.0251,0.0429,0.04245,0.042
1600,0.0004,0.0003,0.0003,0.0065,0.0114,0.0063,0.0138,0.0154,0.0235,0.043,0.0427,0.0424
1650,0.0005,0.0003,0.0003,0.0106,0.0199,0.0065,0.0149,0.0162,0.0184,0.0438,0.0434,0.043
1700,0.0004,0.0003,0.0002,0.0107,0.0151,0.0066,0.0151,0.0164,0.0183,0.0459,0.04555,0.0452
1750,0.0005,0.0003,0.0003,0.0075,0.0107,0.0069,0.0172,0.0169,0.0189,0.0462,0.04535,0.0445
