Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1
50,0.0008,0.0005,0.0004,0.0459,0.0351,0.0351,0.0003,0.0336,0.0325
100,0.0006,0.0003,0.0003,0.0642,0.074,0.0773,0.0004,0.0611,0.0613
150,0.0008,0.0004,0.0003,0.175,0.1616,0.0877,0.0003,0.0855,0.0849
200,0.0007,0.0003,0.0003,0.1136,0.1118,0.1126,0.0003,0.1114,0.1109
250,0.0005,0.0003,0.0003,0.1387,0.137,0.1362,0.0003,0.1352,0.1338
300,0.0005,0.0003,0.0003,0.1772,0.1582,0.2183,0.0004,0.197,0.1718
350,0.0006,0.0003,0.0003,0.1893,0.1863,0.194,0.0003,0.1849,0.1841
400,0.0005,0.0003,0.0002,0.216,0.2109,0.21,0.0003,0.2096,0.2077
450,0.0005,0.0004,0.0004,0.3421,0.2731,0.2962,0.0004,0.258,0.2427
500,0.0006,0.0003,0.0003,0.3665,0.3538,0.356,0.0005,0.3559,0.3529
550,0.0006,0.0003,0.0002,0.2996,0.2981,0.3101,0.0004,0.3165,0.2951
600,0.0005,0.0003,0.0003,0.3158,0.3102,0.3155,0.0003,0.309,0.3077
650,0.0007,0.0005,0.0004,0.4226,0.3464,0.3388,0.0003,0.3339,0.3371
700,0.0006,0.0003,0.0003,0.3611,0.3677,0.3588,0.0003,0.3608,0.3577
750,0.0005,0.0003,0.0002,0.3927,0.3862,0.3855,0.0003,0.3915,0.3851
800,0.0005,0.0002,0.0004,0.4111,0.4141,0.4142,0.0003,0.4459,0.427
850,0.0006,0.0003,0.0003,0.454,0.4381,0.4356,0.0003,0.4336,0.4354
900,0.0005,0.0003,0.0003,0.4716,0.4643,0.4634,0.0003,0.4613,0.4837
950,0.0006,0.0003,0.0003,0.4977,0.5136,0.4948,0.0003,0.4973,0.4913
1000,0.0005,0.0004,0.0002,0.5208,0.5138,0.5119,0.0003,0.5192,0.5089
1050,0.0005,0.0003,0.0003,0.5378,0.5476,0.5433,0.0003,0.5447,0.5407
1100,0.0005,0.0005,0.0004,0.6876,0.5593,0.5647,0.0003,0.5622,0.5565
1150,0.0005,0.0003,0.0003,0.5859,0.6335,0.5905,0.0003,0.5907,0.585
1200,0.0005,0.0003,0.0003,0.6167,0.6094,0.6182,0.0003,0.6158,0.6067
1250,0.0004,0.0003,0.0003,0.6468,0.6452,0.6623,0.0005,0.6718,0.6391
1300,0.0004,0.0003,0.0003,0.671,0.6596,0.6721,0.0003,0.6662,0.6603
1350,0.0005,0.0003,0.0003,0.7929,0.9308,0.912,0.0006,0.9344,0.6963
1400,0.0005,0.0003,0.0002,0.7248,0.7307,0.7289,0.0003,0.7259,0.7176
1450,0.0005,0.0002,0.0003,0.7508,0.7439,0.7441,0.0003,0.7408,0.7465
1500,0.0008,0.0003,0.0003,0.7755,0.7725,0.7712,0.0003,0.8705,0.7815
1550,0.0004,0.0002,0.0003,0.8234,0.8003,0.7925,0.0003,0.7871,0.7798
1600,0.0006,0.0003,0.0003,0.818,0.8355,0.8165,0.0003,0.8078,0.8067
1650,0.0005,0.0003,0.0003,0.8396,0.8367,0.8459,0.0003,0.9904,0.8402
1700,0.0007,0.0003,0.0003,0.8703,0.8777,0.8661,0.0004,0.8603,0.8593
1750,0.0007,0.0003,0.0003,0.9517,0.8699,0.9068,0.0003,0.8908,0.886
1800,0.0005,0.0004,0.0003,0.9178,0.9159,0.9318,0.0004,0.9322,1.2053
1850,0.0005,0.0003,0.0003,0.9446,1.0038,1.056,0.0003,0.9981,1.0466
1900,0.0007,0.0005,0.0003,1.2602,0.9493,1.0139,0.0004,1.0054,0.9946
1950,0.0005,0.0004,0.0003,1.0039,1.145,1.136,0.0003,0.9632,0.9637
2000,0.0004,0.0003,0.0003,1.0272,1.3408,1.0158,0.0003,1.029,1.0344
2050,0.0005,0.0003,0.0003,1.0454,1.0356,1.0347,0.0003,1.0351,1.028
2100,0.001,0.0004,0.0003,1.4296,1.4154,1.0666,0.0004,1.0799,1.0803
2150,0.0005,0.0002,0.0003,1.2064,1.0956,1.1035,0.0003,1.0883,1.0873
