N,Srch0,SrchM,Srch1
50,0.0001,0.00225,0
100,0,0.0015,0
150,0.0001,0.0045,0
200,0,0.005,0.02
250,0,0.005,0.025
300,0.0001,0.009,0.03
350,0.0001,0.00875,0
400,0.0001,0.016,0
450,0,0.018,0
500,0.0001,0.015,0.05
550,0,0.01925,0.055
600,0.0001,0.024,0
650,0.0001,0.01625,0
700,0,0.014,0.07
750,0.0001,0.03375,0.075
800,0.0001,0.016,0.08
850,0.0001,0.03825,0.085
900,0,0.0135,0
950,0.0001,0.038,0.095
1000,0.0001,0.04,0.1
1050,0.0001,0.03675,0
1100,0.0001,0.0495,0.11
1150,0,0.02875,0
1200,0.0001,0.042,0.12
1250,0,0.03125,0.125
1300,0.0001,0.0585,0.13
1350,0,0.0405,0
1400,0.0001,0.049,0
1450,0,0.058,0.145
1500,0,0.0375,0.15
1550,0,0.062,0
1600,0.0001,0.064,0.16
1650,0,0.033,0.165
1700,0.0001,0.0765,0.17
1750,0.0001,0.07,0
1800,0.0001,0.054,0
1850,0.0001,0.06475,0
1900,0.0001,0.0475,0.19
1950,0,0.0585,0.195
2000,0.0001,0.08,0.2
2050,0.0001,0.07175,0.205
2100,0.0001,0.0945,0
2150,0.0001,0.043,0
2200,0,0.099,0
2250,0,0.07875,0.225
2300,0,0.0575,0.23
2350,0.0001,0.0705,0.235
2400,0,0.096,0
2450,0.0001,0.11025,0.245
2500,0.0001,0.1,0.25
2550,0.0001,0.102,0.255
2600,0.0001,0.104,0.26
2650,0.0001,0.14575,0.265
2700,0,0.0945,0.27
2750,0.0001,0.0825,0.275
2800,0,0.098,0
2850,0.0001,0.09975,0
2900,0,0.116,0.29
2950,0.0001,0.10325,0.295
3000,0,0.15,0.3
3050,0,0.0915,0.305
3100,0,0.124,0.31
3150,0.0002,0.1575,0
3200,0.0001,0.272,0
3250,0.0001,0.24375,0
3300,0.0001,0.1485,0.33
3350,0,0.1675,0.335
3400,0.0001,0.187,0.34
3450,0.0001,0.22425,0
3500,0.0001,0.14,0.35
3550,0.0001,0.12425,0
3600,0.0001,0.198,0.36
3650,0,4.28875,0.365
3700,0.0002,0.222,0.37
3750,0.0002,0.39375,0
3800,0.0001,0.152,0.38
3850,0.0002,0.36575,0.385
3900,0.0001,0.1755,0
3950,0.0002,0.21725,0.395
4000,0.0001,0.2,0.4
4050,0.0003,0.18225,0
4100,0.0001,0.5125,0
4150,0,0.249,0.415
4200,0.0002,0.294,0.42
4250,0.0001,0.27625,0
4300,0.0003,0.4945,0
4350,0.0001,0.4785,0.435
4400,0.0002,0.33,0.44
4450,0.0003,0.267,0.445
4500,0.0002,0.5175,0.45
4550,0.0002,0.29575,0
4600,0,0.345,0.46
4650,0.0001,0.4185,0.465
4700,0.0001,0.235,0.47
4750,0.0001,0.3325,0
4800,0.0001,0.312,0.48
4850,0.0003,0.8245,0.485
4900,0.0001,0.3675,0.49
4950,0.0001,0.396,0.495
5000,0.0001,0.3,0.5
5050,0.0001,0.37875,0
5100,0.0002,0.6375,0.51
5150,0.0002,0.618,0.515
5200,0.0005,0.494,0.52
5250,0,0.2625,0.525
5300,0.0001,0.2915,0.53
5350,0.0002,0.82925,0
5400,0.0001,0.297,0.54
5450,0.0003,0.29975,0.545
5500,0.0001,0.275,0.55
5550,0.0001,0.41625,0
5600,0.0001,0.308,0.56
5650,0,0.226,0
5700,0.0001,0.285,0
5750,0.0001,0.2875,0.575
5800,0,0.232,0.58
5850,0.0001,0.1755,0.585
5900,0,0.236,0.59
5950,0.0001,0.20825,0.595
6000,0.0001,0.27,0
6050,0.0001,0.21175,0
6100,0,0.244,0.61
6150,0.0001,0.1845,0.615
6200,0.0001,0.186,0.62
6250,0,0.21875,0.625
6300,0.0001,0.315,0.63
6350,0.0001,0.254,0.635
6400,0,0.384,0
6450,0,0.29025,0.645
6500,0,0.195,0.65
6550,0.0001,0.09825,0
6600,0.0001,0.231,0
6650,0.0001,0.1995,0.665
6700,0,0.2345,0.67
6750,0,0.23625,0.675
6800,0.0001,0.238,0.68
6850,0,0.2055,0
6900,0.0001,0.276,0
6950,0.0001,0.3475,0.695
7000,0.0001,0.315,0.7
7050,0,0.2115,0.705
7100,0,0.284,0.71
7150,0.0001,0.2145,0.715
7200,0.0001,0.18,0.72
7250,0.0001,0.32625,0.725
7300,0.0001,0.2555,0
7350,0,0.294,0.735
7400,0.0002,0.444,0.74
7450,0.0001,0.3725,0
7500,0.0001,0.3,0.75
7550,0.0001,0.26425,0
7600,0,0.342,0.76
7650,0,0.306,0.765
7700,0.0001,0.2695,0
7750,0,0.465,0
7800,0.0001,0.702,0
7850,0.0001,0.471,0.785
7900,0.0001,0.395,0.79
7950,0.0001,0.43725,0
8000,0.0001,0.4,0.8
8050,0,0.12075,0.805
8100,0.0001,0.4455,0.81
8150,0.0001,0.44825,0
8200,0.0001,0.451,0.82
8250,0.0001,0.12375,0
8300,0.0001,0.2905,0.83
8350,0,0.334,0.835
8400,0.0001,0.294,0
8450,0.0001,0.338,0.845
8500,0.0001,0.2975,0
8550,0.0001,0.342,0.855
8600,0.0001,0.344,0.86
8650,0.0001,0.30275,0
8700,0,0.3045,0.87
8750,0,0.21875,0.875
8800,0.0001,0.44,0
8850,0,0.2655,0
8900,0.0001,0.3115,0
8950,0,0.22375,0.895
9000,0.0001,0.405,0.9
9050,0.0001,0.6335,0
9100,0,0.1365,0.91
9150,0.0001,0.4575,0.915
9200,0.0001,0.322,0
9250,0.0001,0.41625,0
9300,0.0002,0.8835,0.93
9350,0.0002,0.748,0.935
9400,0.0002,0.517,0.94
9450,0.0001,0.378,0.945
9500,0.0001,0.57,0
9550,0,0.42975,0.955
9600,0.0001,0.48,0
