N,Srch0,SrchM,Srch1
50,0,0.0015,0.005
100,0,0.002,0.01
150,0.0001,0.00225,0
200,0,0.006,0.02
250,0.0001,0.0075,0.025
300,0,0.0105,0
350,0.0001,0.00875,0
400,0.0001,0.008,0.04
450,0.0001,0.01575,0.045
500,0.0001,0.0075,0.05
550,0.0001,0.022,0
600,0.0001,0.009,0.06
650,0.0001,0.02275,0.065
700,0,0.0245,0
750,0.0001,0.03,0.075
800,0,0.02,0.08
850,0.0001,0.02125,0
900,0,0.0225,0.09
950,0.0001,0.02375,0.095
1000,0.0001,0.035,0
1050,0,0.03675,0
1100,0.0001,0.044,0
1150,0,0.0345,0.115
1200,0,0.036,0.12
1250,0.0001,0.05,0
1300,0.0001,0.039,0
1350,0,0.02025,0.135
1400,0,0.028,0.14
1450,0.0001,0.05075,0.145
1500,0.0001,0.075,0
1550,0.0001,0.062,0.155
1600,0.0001,0.064,0.16
1650,0.0001,0.0825,0.165
1700,0.0001,0.0595,0.17
1750,0.0001,0.07875,0
1800,0,0.054,0
1850,0,0.0555,0
1900,0.0001,0.0665,0
1950,0.0001,0.08775,0
2000,0.0001,0.05,0.2
2050,0.0002,0.1025,0.205
2100,0.0001,0.0735,0.21
2150,0.0001,0.11825,0.215
2200,0,0.066,0
2250,0,0.135,0.225
2300,0,0.046,0
2350,0,0.10575,0.235
2400,0.0001,0.108,0.24
2450,0,0.08575,0.245
2500,0,0.1,0
2550,0.0001,0.1275,0.255
2600,0.0001,0.065,0.26
2650,0.0001,0.106,0
2700,0,0.0945,0
2750,0,0.12375,0.275
2800,0.0001,0.14,0.28
2850,0.0001,0.0855,0
2900,0.0001,0.116,0
2950,0.0001,0.13275,0
3000,0.0001,0.105,0
3050,0,0.10675,0.305
3100,0,0.093,0
3150,0,0.063,0
3200,0.0001,0.112,0.32
3250,0,0.0975,0.325
3300,0.0001,0.0825,0.33
3350,0.0001,0.11725,0.335
3400,0.0001,0.272,0
3450,0.0001,0.12075,0.345
3500,0,0.0525,0.35
3550,0,0.1065,0.355
3600,0,0.09,0.36
3650,0,0.09125,0
3700,0.0001,0.1665,0
3750,0,0.075,0.375
3800,0,0.076,0.38
3850,0.0001,0.154,0
3900,0.0001,0.117,0
3950,0,0.158,0.395
4000,0.0001,0.16,0.4
4050,0.0001,0.1215,0
4100,0.0001,0.1025,0
4150,0.0001,0.14525,0.415
4200,0,0.147,0.42
4250,0,0.085,0
4300,0,0.129,0.43
4350,0.0001,0.174,0.435
4400,0.0001,0.176,0
4450,0,0.1335,0.445
4500,0.0001,0.18,0
4550,0,0.11375,0
4600,0.0001,0.138,0.46
4650,0,0.11625,0
4700,0.0001,0.188,0
4750,0.0001,0.11875,0
4800,0.0001,0.12,0.48
4850,0.0001,0.097,0.485
4900,0,0.1225,0.49
4950,0.0001,0.17325,0.495
5000,0,0.175,0
5050,0.0001,0.17675,0
5100,0.0001,0.2295,0.51
5150,0.0001,0.206,0.515
5200,0.0001,0.234,0
5250,0,0.18375,0.525
5300,0.0001,0.212,0.53
5350,0,0.214,0.535
5400,0.0001,0.216,0
5450,0.0001,0.218,0.545
5500,0.0001,0.2475,0.55
5550,0.0001,0.222,0.555
5600,0.0001,0.224,0.56
5650,0,0.113,0.565
5700,0.0001,0.285,0.57
5750,0,0.08625,0.575
5800,0.0001,0.203,0
