Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1
50,0.0007,0.0001,0.0274,0.0002,0.0002,0.0002,0.0001,0.0003,0.0002
100,0.0003,0.0001,0.0001,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003
150,0.0003,0.0001,0.0001,0.0002,0.0002,0.0004,0.0001,0.0004,0.0004
200,0.0003,0.0002,0.0001,0.0002,0.0003,0.0005,0.0002,0.0005,0.0004
250,0.0003,0.0002,0.0001,0.0001,0.0004,0.0005,0.0001,0.0006,0.0005
300,0.0003,0.0001,0.0001,0.0002,0.0003,0.0006,0.0001,0.0007,0.0005
350,0.0003,0.0002,0.0002,0.0003,0.0005,0.0009,0.0002,0.0011,0.0008
400,0.0003,0.0002,0.0002,0.0001,0.0004,0.0007,0.0001,0.0008,0.0007
450,0.0002,0.0001,0.0002,0.0001,0.0005,0.0008,0.0001,0.0009,0.0008
500,0.0003,0.0001,0.0002,0.0002,0.0005,0.0009,0.0001,0.001,0.0009
550,0.0003,0.0002,0.0001,0.0001,0.0006,0.0009,0.0001,0.0011,0.001
600,0.0003,0.0002,0.0001,0.0002,0.0006,0.0011,0.0001,0.0012,0.0011
650,0.0003,0.0002,0.0001,0.0001,0.0007,0.0011,0.0001,0.0012,0.0011
700,0.0002,0.0001,0.0001,0.0002,0.0007,0.0012,0.0002,0.0014,0.0012
750,0.0003,0.0002,0.0001,0.0001,0.0007,0.0013,0.0001,0.0014,0.0013
800,0.0003,0.0002,0.0001,0.0001,0.0008,0.0013,0.0001,0.0015,0.0013
850,0.0003,0.0002,0.0001,0.0001,0.0008,0.0014,0.0002,0.0016,0.0014
900,0.0004,0.0003,0.0002,0.0003,0.001,0.002,0.0002,0.0022,0.002
950,0.0004,0.0003,0.0001,0.0002,0.0012,0.0019,0.0002,0.0023,0.002
1000,0.0003,0.0001,0.0001,0.0002,0.0009,0.0017,0.0001,0.0017,0.0016
1050,0.0003,0.0001,0.0002,0.0001,0.001,0.0017,0.0001,0.0019,0.0017
1100,0.0003,0.0002,0.0001,0.0002,0.001,0.0018,0.0001,0.0019,0.0019
1150,0.0003,0.0001,0.0002,0.0001,0.001,0.0019,0.0001,0.002,0.0019
1200,0.0003,0.0001,0.0001,0.0002,0.001,0.0019,0.0002,0.002,0.002
1250,0.0002,0.0001,0.0001,0.0002,0.0011,0.0021,0.0002,0.0022,0.0021
1300,0.0003,0.0002,0.0001,0.0001,0.0012,0.0021,0.0001,0.0023,0.0021
1350,0.0003,0.0001,0.0002,0.0002,0.0012,0.0022,0.0001,0.0024,0.0021
1400,0.0004,0.0002,0.0001,0.0002,0.0016,0.003,0.0002,0.0034,0.0028
1450,0.0003,0.0002,0.0002,0.0003,0.0018,0.0032,0.0003,0.0037,0.003
1500,0.0004,0.0002,0.0002,0.0003,0.0017,0.0031,0.0002,0.0034,0.0032
1550,0.0003,0.0002,0.0002,0.0003,0.0017,0.003,0.0001,0.0026,0.0025
1600,0.0005,0.0002,0.0002,0.0002,0.0016,0.003,0.0002,0.0033,0.003
1650,0.0005,0.0003,0.0002,0.0002,0.0018,0.0031,0.0001,0.0036,0.0031
1700,0.0005,0.0002,0.0001,0.0002,0.0018,0.0033,0.0001,0.0037,0.0031
1750,0.0003,0.0002,0.0002,0.0002,0.0015,0.0028,0.0001,0.003,0.0028
1800,0.0003,0.0001,0.0002,0.0002,0.0015,0.0034,0.0002,0.0038,0.0034
1850,0.0003,0.0001,0.0001,0.0002,0.0016,0.0029,0.0001,0.0031,0.003
1900,0.0003,0.0002,0.0001,0.0002,0.0018,0.0035,0.0002,0.004,0.0035
1950,0.0003,0.0004,0.0002,0.0002,0.0021,0.0038,0.0002,0.0034,0.0031
2000,0.0003,0.0002,0.0001,0.0002,0.0016,0.0032,0.0002,0.0033,0.0032
2050,0.0003,0.0001,0.0001,0.0002,0.0017,0.0032,0.0001,0.0034,0.0033
2100,0.0003,0.0002,0.0002,0.0001,0.0018,0.0032,0.0002,0.0035,0.0034
2150,0.0004,0.0002,0.0001,0.0002,0.0024,0.0044,0.0002,0.0047,0.0043
2200,0.0003,0.0004,0.0002,0.0002,0.0022,0.0041,0.0001,0.0038,0.0035
2250,0.0003,0.0002,0.0002,0.0002,0.0022,0.0042,0.0002,0.0046,0.0042
2300,0.0003,0.0002,0.0001,0.0002,0.002,0.0036,0.0002,0.0039,0.0042
2350,0.0004,0.0002,0.0002,0.0002,0.0026,0.0051,0.0001,0.0055,0.005
2400,0.0004,0.0003,0.0001,0.0002,0.0026,0.0052,0.0002,0.0058,0.0052
2450,0.0003,0.0001,0.0001,0.0002,0.002,0.0038,0.0001,0.0041,0.0039
2500,0.0003,0.0001,0.0001,0.0002,0.002,0.0039,0.0001,0.0042,0.0039
2550,0.0003,0.0001,0.0001,0.0002,0.0021,0.0039,0.0002,0.0043,0.0039
2600,0.0003,0.0001,0.0002,0.0002,0.0021,0.004,0.0001,0.0043,0.0041
2650,0.0003,0.0002,0.0001,0.0002,0.0022,0.0041,0.0001,0.0044,0.0042
2700,0.0003,0.0002,0.0001,0.0002,0.0022,0.0042,0.0001,0.0046,0.0042
2750,0.0003,0.0002,0.0002,0.0001,0.0023,0.0042,0.0001,0.0046,0.0043
2800,0.0004,0.0002,0.0001,0.0002,0.0023,0.0043,0.0002,0.0047,0.0044
2850,0.0003,0.0001,0.0001,0.0002,0.0023,0.0044,0.0001,0.0046,0.0044
2900,0.0003,0.0002,0.0001,0.0002,0.0024,0.0045,0.0001,0.0047,0.0045
2950,0.0003,0.0002,0.0001,0.0002,0.0024,0.0598,0.0001,0.0049,0.0046
3000,0.0003,0.0001,0.0002,0.0001,0.0024,0.0047,0.0001,0.0049,0.0047
3050,0.0003,0.0001,0.0001,0.0002,0.0025,0.0047,0.0002,0.0051,0.0047
3100,0.0003,0.0003,0.0001,0.0002,0.1398,0.0048,0.0003,0.0051,0.0048
3150,0.0008,0.0002,0.0001,0.0003,0.0047,0.0058,0.0002,0.0064,0.0058
3200,0.0003,0.0002,0.0002,0.0002,0.0031,0.0059,0.0001,0.0066,0.0059
3250,0.0003,0.0002,0.0001,0.0002,0.0032,0.006,0.0002,0.0068,0.006
3300,0.0004,0.0001,0.0002,0.0001,0.0027,0.0052,0.0001,0.0054,0.0051
3350,0.0003,0.0001,0.0001,0.0002,0.0026,0.0052,0.0001,0.0056,0.0052
3400,0.0004,0.0002,0.0002,0.0002,0.0028,0.0052,0.0002,0.0056,0.0053
3450,0.0008,0.0004,0.0002,0.0002,0.0037,0.007,0.0002,0.0075,0.0069
3500,0.0005,0.0002,0.0002,0.0002,0.0033,0.0064,0.0002,0.0071,0.0063
3550,0.0002,0.0002,0.0001,0.0002,0.0033,0.0065,0.0003,0.0074,0.0068
3600,0.0004,0.0002,0.0002,0.0001,0.0034,0.0066,0.0002,0.0075,0.0066
3650,0.0003,0.0002,0.0001,0.0001,0.0034,0.0068,0.0002,0.0078,0.007
3700,0.0004,0.0002,0.0001,0.0002,0.0037,0.0069,0.0002,0.0077,0.0068
3750,0.0004,0.0001,0.0002,0.0001,0.003,0.0057,0.0002,0.0061,0.0058
3800,0.0003,0.0001,0.0002,0.0002,0.003,0.0058,0.0002,0.0062,0.0059
3850,0.0003,0.0002,0.0001,0.0001,0.0031,0.006,0.0002,0.0063,0.0059
3900,0.0003,0.0002,0.0001,0.0001,0.0031,0.006,0.0142,0.0064,0.006
3950,0.0003,0.0001,0.0002,0.0001,0.0031,0.0061,0.0001,0.0064,0.0061
4000,0.0003,0.0001,0.0002,0.0002,0.0032,0.0061,0.0001,0.0065,0.0062
4050,0.0003,0.0002,0.0002,0.0002,0.0032,0.0062,0.0001,0.0066,0.0062
4100,0.0003,0.0001,0.0002,0.0002,0.0032,0.0063,0.0001,0.0067,0.0063
4150,0.0002,0.0002,0.0001,0.0001,0.0033,0.0064,0.0001,0.0068,0.0064
4200,0.0003,0.0002,0.0001,0.0002,0.0034,0.0064,0.0001,0.0069,0.0065
4250,0.0003,0.0002,0.0001,0.0002,0.0035,0.0065,0.0002,0.007,0.0065
4300,0.0003,0.0001,0.0002,0.0001,0.0034,0.0066,0.0001,0.0239,0.0066
4350,0.0003,0.0001,0.0001,0.0001,0.0035,0.0067,0.0001,0.0071,0.0067
4400,0.0003,0.0001,0.0002,0.0002,0.0035,0.0067,0.0001,0.0072,0.0068
4450,0.0003,0.0001,0.0002,0.0001,0.0036,0.0068,0.0002,0.0073,0.0068
4500,0.0003,0.0001,0.0002,0.0001,0.0036,0.0069,0.0001,0.0072,0.0069
4550,0.0002,0.0001,0.0001,0.0002,0.0036,0.0069,0.0001,0.0074,0.007
4600,0.0003,0.0001,0.0002,0.0002,0.0037,0.0071,0.0001,0.0075,0.0071
4650,0.0003,0.0002,0.0001,0.0002,0.0037,0.0081,0.0002,0.0093,0.008
4700,0.0007,0.0002,0.0001,0.0002,0.0037,0.0072,0.0001,0.0077,0.0072
4750,0.0003,0.0001,0.0001,0.0001,0.0038,0.0073,0.0001,0.0078,0.0072
4800,0.0003,0.0002,0.0001,0.0001,0.0038,0.0074,0.0001,0.0078,0.0074
4850,0.0003,0.0004,0.0002,0.0002,0.0045,0.0091,0.0002,0.0099,0.0092
4900,0.0004,0.0002,0.0001,0.0002,0.0039,0.0075,0.0001,0.008,0.0075
4950,0.0003,0.0002,0.0002,0.0001,0.0039,0.0076,0.0001,0.008,0.0076
5000,0.0003,0.0002,0.0001,0.0002,0.004,0.0076,0.0001,0.0081,0.0077
5050,0.0003,0.0002,0.0001,0.0001,0.004,0.0077,0.0001,0.0082,0.0077
5100,0.0003,0.0002,0.0002,0.0001,0.004,0.0078,0.0001,0.0083,0.0078
5150,0.0003,0.0002,0.0001,0.0002,0.004,0.0079,0.0001,0.0083,0.0079
5200,0.0003,0.0002,0.0001,0.0001,0.0041,0.008,0.0002,0.0084,0.008
5250,0.0003,0.0002,0.0001,0.0001,0.0041,0.008,0.0002,0.0085,0.0081
5300,0.0003,0.0001,0.0001,0.0001,0.0042,0.0081,0.0001,0.0086,0.0081
5350,0.0003,0.0001,0.0001,0.0001,0.0042,0.0081,0.0002,0.0087,0.0082
5400,0.0003,0.0002,0.0001,0.0002,0.0054,0.0103,0.0002,0.0116,0.0104
5450,0.0002,0.0001,0.0001,0.0002,0.0042,0.0083,0.0002,0.0089,0.0084
5500,0.0003,0.0001,0.0002,0.0001,0.0043,0.0084,0.0001,0.0089,0.0084
5550,0.0003,0.0002,0.0001,0.0002,0.0044,0.0084,0.0002,0.009,0.0085
5600,0.0003,0.0002,0.0001,0.0002,0.0044,0.0086,0.0001,0.0091,0.0085
5650,0.0003,0.0001,0.0001,0.0001,0.0044,0.0087,0.0001,0.0091,0.0087
5700,0.0003,0.0001,0.0002,0.0002,0.0044,0.0087,0.0001,0.0092,0.0087
5750,0.0003,0.0001,0.0002,0.0001,0.0045,0.0087,0.0001,0.0093,0.0088
5800,0.0003,0.0001,0.0001,0.0002,0.0046,0.0088,0.0001,0.0094,0.0088
5850,0.0002,0.0003,0.0002,0.0002,0.0054,0.0109,0.0002,0.0119,0.0105
5900,0.0003,0.0002,0.0001,0.0002,0.0045,0.0089,0.0002,0.0092,0.0088
5950,0.0004,0.0005,0.0002,0.0002,0.0055,0.0097,0.0001,0.0099,0.0232
6000,0.0006,0.0003,0.0002,0.0002,0.0057,0.0117,0.0002,0.0139,0.0127
6050,0.0004,0.0004,0.0001,0.0002,0.0067,0.0125,0.0002,0.0134,0.0121
6100,0.0004,0.0002,0.0001,0.0002,0.0048,0.0094,0.0001,0.0099,0.0094
6150,0.0007,0.0003,0.0002,0.0003,0.006,0.0119,0.0003,0.0134,0.0117
6200,0.0003,0.0001,0.0002,0.0001,0.0049,0.0094,0.0002,0.0101,0.0095
6250,0.0004,0.0001,0.0001,0.0002,0.0049,0.0096,0.0001,0.1497,0.0096
6300,0.0003,0.0003,0.0001,0.0002,0.0049,0.0096,0.0001,0.0102,0.0096
6350,0.0004,0.0003,0.0002,0.0002,0.0051,0.0097,0.0002,0.0102,0.0097
6400,0.0004,0.0002,0.0001,0.0001,0.005,0.0098,0.0002,0.0104,0.0098
6450,0.0003,0.0001,0.0002,0.0002,0.005,0.0098,0.0002,0.0104,0.0098
6500,0.0003,0.0001,0.0002,0.0001,0.0051,0.0099,0.0002,0.0106,0.0098
6550,0.0003,0.0002,0.0001,0.0002,0.0051,0.01,0.0001,0.0106,0.01
6600,0.0002,0.0001,0.0001,0.0001,0.0052,0.0101,0.0001,0.0106,0.0101
6650,0.0003,0.0002,0.0002,0.0002,0.0052,0.0102,0.0001,0.0108,0.0101
6700,0.0003,0.0002,0.0002,0.0002,0.0052,0.0102,0.0001,0.0108,0.0102
6750,0.0003,0.0002,0.0001,0.0001,0.0053,0.0103,0.0001,0.011,0.0103
6800,0.0003,0.0001,0.0001,0.0002,0.0052,0.0104,0.0001,0.011,0.0104
6850,0.0003,0.0001,0.0002,0.0001,0.0053,0.0104,0.0002,0.0111,0.0104
6900,0.0002,0.0001,0.0001,0.0002,0.0054,0.0105,0.0001,0.0113,0.0105
6950,0.0003,0.0002,0.0001,0.0001,0.0054,0.0105,0.0002,0.0112,0.0106
7000,0.0003,0.0001,0.0001,0.0002,0.0055,0.0106,0.0001,0.0113,0.0107
7050,0.0004,0.0003,0.0002,0.0002,0.0067,0.0128,0.0002,0.0139,0.0126
7100,0.0004,0.0001,0.0002,0.0002,0.0055,0.0108,0.0002,0.0115,0.0108
7150,0.0004,0.0004,0.0002,0.0002,0.0074,0.0144,0.0002,0.0161,0.0144
7200,0.0003,0.0003,0.0001,0.0002,0.0056,0.011,0.0001,0.0116,0.011
7250,0.0003,0.0002,0.0001,0.0002,0.0064,0.0111,0.0001,0.0117,0.0111
7300,0.0002,0.0002,0.0001,0.0002,0.0056,0.0111,0.0001,0.0116,0.0112
7350,0.0003,0.0001,0.0001,0.0002,0.0057,0.0111,0.0002,0.0119,0.0113
7400,0.0003,0.0002,0.0001,0.0002,0.0057,0.0112,0.0001,0.0121,0.0113
7450,0.0003,0.0002,0.0001,0.0002,0.0064,0.0126,0.0002,0.014,0.0126
7500,0.0004,0.0002,0.0001,0.0002,0.0058,0.0114,0.0001,0.0121,0.0114
7550,0.0003,0.0001,0.0002,0.0001,0.0059,0.0115,0.0001,0.0122,0.0115
7600,0.0009,0.0002,0.0001,0.0001,0.0059,0.0115,0.0002,0.0123,0.0116
7650,0.0003,0.0002,0.0001,0.0001,0.0059,0.0117,0.0001,0.0124,0.0117
7700,0.0004,0.0001,0.0002,0.0001,0.0059,0.0117,0.0001,0.0125,0.0117
7750,0.0003,0.0001,0.0002,0.0002,0.0059,0.0118,0.0002,0.0126,0.0117
7800,0.0003,0.0001,0.0001,0.0002,0.006,0.0119,0.0001,0.0126,0.0119
7850,0.0004,0.0003,0.0001,0.0002,0.0061,0.0119,0.0001,0.0127,0.0121
7900,0.0003,0.0002,0.0001,0.0002,0.0061,0.0121,0.0001,0.0128,0.0133
7950,0.0003,0.0002,0.0001,0.0001,0.0062,0.0121,0.0002,0.0129,0.0122
8000,0.0002,0.0001,0.0001,0.0001,0.0062,0.0122,0.0001,0.0128,0.0122
8050,0.0003,0.0002,0.0001,0.0001,0.0062,0.0123,0.0002,0.013,0.0123
8100,0.0003,0.0002,0.0001,0.0002,0.0062,0.0124,0.0001,0.0132,0.0124
