Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1
50,0.0003,0.0002,0.0244,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003
100,0.0003,0.0001,0.0342,0.0002,0.0002,0.0003,0.0001,0.0004,0.0003
150,0.0003,0.0002,0.0448,0.0001,0.0003,0.0004,0.0001,0.0004,0.0004
200,0.0003,0.0001,0.0528,0.0001,0.0003,0.0005,0.0001,0.0005,0.0005
250,0.0003,0.0001,0.0637,0.0002,0.0003,0.0005,0.0002,0.0006,0.0006
300,0.0003,0.0001,0.0851,0.0002,0.0004,0.0006,0.0002,0.0007,0.0006
350,0.0003,0.0001,0.0834,0.0002,0.0004,0.0007,0.0002,0.0008,0.0007
400,0.0003,0.0001,0.0933,0.0001,0.0005,0.0007,0.0002,0.0008,0.0008
450,0.0004,0.0001,0.1019,0.0001,0.0005,0.0008,0.0002,0.001,0.0009
500,0.0004,0.0001,0.1125,0.0001,0.0005,0.0009,0.0001,0.001,0.0009
550,0.0003,0.0002,0.1775,0.0001,0.0006,0.001,0.0001,0.001,0.001
600,0.0003,0.0002,0.1302,0.0001,0.0006,0.001,0.0001,0.0012,0.0011
650,0.0002,0.0001,0.1808,0.0002,0.0009,0.0014,0.0002,0.0015,0.0014
700,0.0003,0.0002,0.1514,0.0001,0.0007,0.0012,0.0001,0.0014,0.0012
750,0.0003,0.0002,0.163,0.0001,0.0007,0.0013,0.0001,0.0014,0.0013
800,0.0003,0.0002,0.1806,0.0002,0.0008,0.0013,0.0001,0.0015,0.0014
850,0.0003,0.0001,0.1787,0.0001,0.0008,0.0014,0.0001,0.0016,0.0014
900,0.0003,0.0002,0.188,0.0001,0.0009,0.0015,0.0001,0.0016,0.0015
950,0.0003,0.0002,0.1974,0.0002,0.001,0.0016,0.0001,0.0018,0.0016
1000,0.0003,0.0001,0.2069,0.0001,0.0009,0.0016,0.0002,0.0017,0.0017
1050,0.0003,0.0002,0.2164,0.0001,0.001,0.0018,0.0002,0.0019,0.0017
1100,0.0004,0.0002,0.2274,0.0002,0.001,0.0018,0.0002,0.002,0.0019
1150,0.0004,0.0001,0.2415,0.0001,0.0011,0.0018,0.0002,0.002,0.0019
1200,0.0003,0.0002,0.248,0.0002,0.0011,0.0019,0.0002,0.0021,0.002
1250,0.0003,0.0002,0.2554,0.0001,0.0011,0.002,0.0001,0.0022,0.0021
1300,0.0003,0.0002,0.2643,0.0001,0.0012,0.0021,0.0001,0.0023,0.0021
1350,0.0003,0.0001,0.2744,0.0001,0.0012,0.0021,0.0002,0.0024,0.0022
1400,0.0002,0.0001,0.2818,0.0002,0.0013,0.0022,0.0002,0.0024,0.0022
1450,0.0006,0.0003,0.3088,0.0002,0.0014,0.0026,0.0002,0.0031,0.0026
1500,0.0004,0.0001,0.3029,0.0001,0.0013,0.0024,0.0001,0.0025,0.0024
1550,0.0003,0.0001,0.3115,0.0001,0.0013,0.0025,0.0001,0.0027,0.0025
1600,0.0004,0.0001,0.3226,0.0001,0.0014,0.0025,0.0002,0.0027,0.0026
1650,0.0002,0.0001,0.3327,0.0001,0.0018,0.0032,0.0002,0.0034,0.0032
1700,0.0004,0.0001,0.3418,0.0002,0.0015,0.0027,0.0002,0.0029,0.0027
1750,0.0003,0.0001,0.3513,0.0002,0.0014,0.0028,0.0001,0.003,0.0028
1800,0.0003,0.0001,0.3605,0.0001,0.0015,0.0028,0.0002,0.0031,0.0028
1850,0.0003,0.0001,0.3702,0.0002,0.0015,0.003,0.0002,0.0031,0.0029
1900,0.0003,0.0002,0.3779,0.0002,0.0016,0.003,0.0002,0.0032,0.003
1950,0.0004,0.0001,0.3882,0.0002,0.0017,0.003,0.0002,0.0033,0.003
2000,0.0003,0.0002,0.3976,0.0001,0.0017,0.0031,0.0002,0.0033,0.0032
2050,0.0004,0.0001,0.4187,0.0002,0.0018,0.0032,0.0002,0.0035,0.0033
2100,0.0003,0.0001,0.4191,0.0001,0.0018,0.0033,0.0002,0.0035,0.0033
2150,0.0002,0.0002,0.4651,0.0002,0.0018,0.0034,0.0002,0.0036,0.0034
2200,0.0003,0.0001,0.4407,0.0001,0.0018,0.0035,0.0001,0.0037,0.0035
2250,0.0002,0.0002,0.4448,0.0002,0.0019,0.0035,0.0001,0.0038,0.0036
2300,0.0003,0.0001,0.4532,0.0002,0.0019,0.0037,0.0002,0.0038,0.0037
2350,0.0003,0.0002,0.4628,0.0001,0.002,0.0037,0.0001,0.0039,0.0037
2400,0.0003,0.0002,0.4843,0.0001,0.0021,0.0038,0.0001,0.0042,0.0037
2450,0.0003,0.0002,0.4905,0.0002,0.002,0.0038,0.0002,0.0041,0.0038
2500,0.0003,0.0002,0.4911,0.0001,0.0021,0.004,0.0002,0.0042,0.0039
2550,0.0003,0.0002,0.5012,0.0001,0.0021,0.004,0.0001,0.0043,0.004
2600,0.0003,0.0002,0.5108,0.0001,0.0021,0.004,0.0002,0.0043,0.0041
2650,0.0003,0.0002,0.5289,0.0002,0.0022,0.0041,0.0002,0.0045,0.0041
2700,0.0002,0.0002,0.7361,0.0002,0.0025,0.0052,0.0009,0.006,0.0062
