Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1
50,0.0006,0.0004,0.0003,0.0422,0.0367,0.0354,0.0003,0.0345,0.0342
100,0.0004,0.0003,0.0003,0.0651,0.0621,0.0619,0.0003,0.0598,0.0597
150,0.0005,0.0003,0.0003,0.111,0.1229,0.1237,0.0003,0.1009,0.1081
200,0.0005,0.0003,0.0003,0.1173,0.1289,0.1366,0.0003,0.1147,0.1242
250,0.0012,0.0003,0.0003,0.1463,0.14,0.1501,0.0003,0.1383,0.1389
300,0.0004,0.0002,0.0004,0.1663,0.1769,0.1648,0.0003,0.1633,0.1626
350,0.0005,0.0003,0.0003,0.2021,0.4686,0.3767,0.0005,0.3355,0.2575
400,0.0005,0.0003,0.0002,0.4016,0.3867,0.3972,0.0007,0.3787,0.3391
450,0.0006,0.0003,0.0003,0.2987,0.3008,0.2934,0.0003,0.2376,0.2321
500,0.0005,0.0003,0.0003,0.3197,0.3103,0.2575,0.0002,0.2568,0.257
550,0.0004,0.0003,0.0003,0.3701,0.4524,0.2974,0.0003,0.2794,0.2803
600,0.0005,0.0003,0.0003,0.307,0.3062,0.3042,0.0002,0.3041,0.3028
650,0.0005,0.0003,0.0003,0.3309,0.4053,0.3311,0.0003,0.329,0.4051
700,0.0005,0.0004,0.0002,0.3692,0.3629,0.3616,0.0003,0.377,0.3987
750,0.0009,0.0004,0.0003,0.5037,0.4206,0.4681,0.0003,0.4434,0.4106
800,0.0004,0.0003,0.0003,0.4188,0.4164,0.4147,0.0003,0.4224,0.4157
850,0.0005,0.0003,0.0003,0.72,0.4394,0.4394,0.0003,0.4462,0.4665
900,0.0008,0.0003,0.0003,0.4809,0.4744,0.4672,0.0003,0.4643,0.4632
950,0.0006,0.0004,0.0003,0.4921,0.4919,0.4883,0.0003,0.4886,0.4863
1000,0.0005,0.0003,0.0003,0.5437,0.5172,0.5168,0.0003,0.7236,0.7461
1050,0.0004,0.0002,0.0003,0.5428,0.5359,0.5392,0.0002,0.5358,0.54
1100,0.0006,0.0003,0.0003,0.5721,0.5661,0.5634,0.0003,0.5705,0.554
1150,0.0006,0.0002,0.0002,0.5901,0.5751,0.6117,0.0003,0.6493,0.5705
1200,0.0005,0.0003,0.0004,0.7881,0.6405,0.8969,0.0009,0.8234,1.0296
1250,0.0006,0.0004,0.0003,0.8931,0.7639,0.7507,0.0003,0.6445,0.6452
