N,Ins0,InsM,Ins1,Del0,DelM,Del1,Srch0,SrchM,Srch1
50,0.0005,0.00044,0.0025,0.0018,0.00212,0.002,0.0002,0.0002,0.0003
100,0.0005,0.00044,0.0027,0.0033,0.00289,0.0029,0.0001,0.0002,0.0009
150,0.0005,0.00052,0.004,0.0019,0.00238,0.0031,0.0002,0.0002,0.0011
200,0.0006,0.0006,0.0052,0.0021,0.00249,0.0031,0.0002,0.00017,0.0012
250,0.0005,0.00054,0.0065,0.002,0.0027,0.004,0.0003,0.00019,0.0017
300,0.0005,0.00053,0.0082,0.0183,0.00476,0.0083,0.0003,0.00018,0.0017
350,0.0008,0.00075,0.0148,0.0053,0.00308,0.0067,0.0001,0.0004,0.003
400,0.0006,0.00057,0.0158,0.0027,0.00296,0.0171,0.0004,0.00036,0.0052
450,0.0004,0.0007,0.0319,0.0032,0.00508,0.0175,0.0003,0.00027,0.0061
500,0.0005,0.00059,0.0139,0.0026,0.00421,0.008,0.0002,0.00023,0.0036
550,0.0005,0.00075,0.0164,0.007,0.00383,0.009,0.0002,0.00032,0.0039
600,0.0007,0.00065,0.0182,0.0024,0.0029,0.0111,0.0003,0.00023,0.0046
650,0.001,0.00075,0.0198,0.0022,0.00591,0.0123,0.0004,0.00029,0.0051
700,0.0009,0.00072,0.0283,0.0032,0.00339,0.0133,0.0003,0.00038,0.0061
750,0.0005,0.00076,0.0228,0.0026,0.0053,0.0118,0.0003,0.00036,0.0058
800,0.0004,0.00062,0.038,0.0023,0.00298,0.0145,0.0002,0.00031,0.0071
850,0.0007,0.00288,0.0257,0.0094,0.00638,0.0113,0.0003,0.00061,0.0063
900,0.0008,0.00075,0.0282,0.0044,0.00633,0.0123,0.0005,0.0007,0.0072
950,0.0013,0.00075,0.0297,0.0037,0.00413,0.0126,0.0003,0.00046,0.0075
1000,0.0014,0.00107,0.0366,0.0077,0.00825,0.0122,0.0003,0.00048,0.0074
1050,0.0018,0.00098,0.0328,0.0039,0.00581,0.0128,0.0006,0.0007,0.0081
1100,0.0013,0.00096,0.0346,0.0073,0.00549,0.0138,0.0005,0.00041,0.0084
1150,0.0012,0.00082,0.0365,0.0069,0.00677,0.0138,0.0006,0.00068,0.0087
1200,0.0008,0.00106,0.0464,0.0053,0.00558,0.0151,0.0008,0.00068,0.0097
1250,0.0009,0.00096,0.0389,0.0033,0.00762,0.0152,0.0004,0.00055,0.0094
1300,0.0007,0.00089,0.0454,0.0089,0.00893,0.0224,0.0009,0.00073,0.0103
1350,0.0009,0.00091,0.0428,0.0121,0.00828,0.0155,0.0004,0.00057,0.0104
1400,0.0009,0.00094,0.0434,0.0087,0.00813,0.0171,0.0005,0.00067,0.0104
1450,0.0009,0.00109,0.0447,0.0149,0.01006,0.0158,0.0005,0.00065,0.0108
1500,0.0006,0.00086,0.06,0.0041,0.00444,0.021,0.0003,0.00047,0.0127
1550,0.0005,0.00077,0.0468,0.0051,0.00662,0.0166,0.0004,0.00047,0.0112
1600,0.0005,0.00095,0.0503,0.0048,0.00497,0.0169,0.0004,0.0004,0.0122
1650,0.0007,0.00096,0.095,0.0032,0.00361,0.053,0.0003,0.00041,0.0268
1700,0.0006,0.00078,0.0503,0.0052,0.00429,0.0176,0.0003,0.00031,0.0119
1750,0.0006,0.00065,0.0553,0.0032,0.00786,0.0182,0.0005,0.00058,0.0126
1800,0.0007,0.00069,0.0547,0.0051,0.00743,0.0175,0.0006,0.00037,0.0128
1850,0.001,0.00104,0.0563,0.0102,0.00843,0.0192,0.0005,0.00046,0.0133
1900,0.0017,0.00095,0.0644,0.007,0.0054,0.0209,0.0003,0.00048,0.0146
1950,0.0006,0.00082,0.06,0.0037,0.00565,0.022,0.0005,0.00039,0.0141
2000,0.0008,0.00081,0.0619,0.005,0.00446,0.0201,0.0002,0.00035,0.0147
